Disease trait	EFO term	EFO URI	Parent term	Parent URI
Hoarding	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Obsessive-compulsive disorder	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Obsessive-compulsive disorder or autism spectrum disorder	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Obsessive-compulsive disorder x sex interaction	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Tourette's syndrome or obsessive-compulsive disorder	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Gut microbiome composition (summer and winter)	seasonal gut microbiome measurement	http://www.ebi.ac.uk/efo/EFO_0007753	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Gut microbiome composition (summer)	seasonal gut microbiome measurement	http://www.ebi.ac.uk/efo/EFO_0007753	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Gut microbiome composition (winter)	seasonal gut microbiome measurement	http://www.ebi.ac.uk/efo/EFO_0007753	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Medication use (immunosuppressants)	Immunosuppressant use measurement	http://www.ebi.ac.uk/efo/EFO_0009934	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Medication use (agents acting on the renin-angiotensin system)	Agents acting on the renin-angiotensin system use measurement	http://www.ebi.ac.uk/efo/EFO_0009931	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Oral cavity and pharyngeal cancer	pharynx cancer	http://www.ebi.ac.uk/efo/EFO_0005577	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Alcohol dependence or heroin dependence or methamphetamine dependence	heroin dependence	http://www.ebi.ac.uk/efo/EFO_0004240	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Heroin addiction	heroin dependence	http://www.ebi.ac.uk/efo/EFO_0004240	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Heroin dependence	heroin dependence	http://www.ebi.ac.uk/efo/EFO_0004240	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Atopic march	atopic march	http://www.ebi.ac.uk/efo/EFO_0007755	Biological process	http://purl.obolibrary.org/obo/GO_0008150
Medication use (HMG CoA reductase inhibitors)	HMG CoA reductase inhibitor use measurement	http://www.ebi.ac.uk/efo/EFO_0009932	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Affective disorder and suicide attempts	mood disorder	http://www.ebi.ac.uk/efo/EFO_0004247	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Depressed affect	mood disorder	http://www.ebi.ac.uk/efo/EFO_0004247	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Major mood disorders	mood disorder	http://www.ebi.ac.uk/efo/EFO_0004247	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Mood disorder and prion disease	mood disorder	http://www.ebi.ac.uk/efo/EFO_0004247	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Mood disorder in prion disease	mood disorder	http://www.ebi.ac.uk/efo/EFO_0004247	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Non-response to antidepressants and depression	mood disorder	http://www.ebi.ac.uk/efo/EFO_0004247	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Non-response to bupropion and depression	mood disorder	http://www.ebi.ac.uk/efo/EFO_0004247	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Non-response to citalopram or escitalopram and depression	mood disorder	http://www.ebi.ac.uk/efo/EFO_0004247	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Non-response to selective serotonin reuptake inhibitors and depression	mood disorder	http://www.ebi.ac.uk/efo/EFO_0004247	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Psychiatric disorder	mood disorder	http://www.ebi.ac.uk/efo/EFO_0004247	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Response to antidepressants and depression	mood disorder	http://www.ebi.ac.uk/efo/EFO_0004247	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Response to antidepressants in depression	mood disorder	http://www.ebi.ac.uk/efo/EFO_0004247	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Response to bupropion and depression	mood disorder	http://www.ebi.ac.uk/efo/EFO_0004247	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Response to bupropion in depression	mood disorder	http://www.ebi.ac.uk/efo/EFO_0004247	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Response to citalopram or escitalopram and depression	mood disorder	http://www.ebi.ac.uk/efo/EFO_0004247	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Response to citalopram or escitalopram in depression	mood disorder	http://www.ebi.ac.uk/efo/EFO_0004247	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Response to selective serotonin reuptake inhibitors and depression	mood disorder	http://www.ebi.ac.uk/efo/EFO_0004247	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Response to selective serotonin reuptake inhibitors in depression	mood disorder	http://www.ebi.ac.uk/efo/EFO_0004247	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Coronary arterial lesions in patients with Kawasaki disease	mucocutaneous lymph node syndrome	http://www.ebi.ac.uk/efo/EFO_0004246	Immune system disorder	http://www.ebi.ac.uk/efo/EFO_0000540
Coronary artery aneurysm in Kawasaki disease	mucocutaneous lymph node syndrome	http://www.ebi.ac.uk/efo/EFO_0004246	Immune system disorder	http://www.ebi.ac.uk/efo/EFO_0000540
Inflammatory biomarkers in Kawasaki disease	mucocutaneous lymph node syndrome	http://www.ebi.ac.uk/efo/EFO_0004246	Immune system disorder	http://www.ebi.ac.uk/efo/EFO_0000540
Kawasaki disease	mucocutaneous lymph node syndrome	http://www.ebi.ac.uk/efo/EFO_0004246	Immune system disorder	http://www.ebi.ac.uk/efo/EFO_0000540
Response to intravenous immunoglobulin treatment in Kawasaki disease	mucocutaneous lymph node syndrome	http://www.ebi.ac.uk/efo/EFO_0004246	Immune system disorder	http://www.ebi.ac.uk/efo/EFO_0000540
Medication use (calcium channel blockers)	Calcium channel blocker use measurement	http://www.ebi.ac.uk/efo/EFO_0009930	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Interstitial lung disease	interstitial lung disease	http://www.ebi.ac.uk/efo/EFO_0004244	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Methotrexate-induced interstitial lung disease in rheumatoid arthritis	interstitial lung disease	http://www.ebi.ac.uk/efo/EFO_0004244	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Cleft lip with or without cleft palate	cleft palate	http://purl.obolibrary.org/obo/HP_0000175	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Cleft palate	cleft palate	http://purl.obolibrary.org/obo/HP_0000175	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Cleft plate (environmental tobacco smoke interaction)	cleft palate	http://purl.obolibrary.org/obo/HP_0000175	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Nonsyndromic cleft lip with cleft palate	cleft palate	http://purl.obolibrary.org/obo/HP_0000175	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Nonsyndromic cleft lip with or without cleft palate	cleft palate	http://purl.obolibrary.org/obo/HP_0000175	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Nonsyndromic cleft lip with or without cleft palate x sex interaction (2df test)	cleft palate	http://purl.obolibrary.org/obo/HP_0000175	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Orofacial clefts (cleft lip vs. cleft lip and palate)	cleft palate	http://purl.obolibrary.org/obo/HP_0000175	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Glucocorticoid-induced osteonecrosis	osteonecrosis	http://www.ebi.ac.uk/efo/EFO_0004259	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Glucocorticoid-induced osteonecrosis (age 10 years and older)	osteonecrosis	http://www.ebi.ac.uk/efo/EFO_0004259	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Glucocorticoid-induced osteonecrosis (time dependent analysis)	osteonecrosis	http://www.ebi.ac.uk/efo/EFO_0004259	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Glucocorticoid-induced osteonecrosis (time independent analysis)	osteonecrosis	http://www.ebi.ac.uk/efo/EFO_0004259	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Osteonecrosis of the jaw	osteonecrosis	http://www.ebi.ac.uk/efo/EFO_0004259	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Maternal chorioamnionitis	chorioamnionitis	http://www.ebi.ac.uk/efo/EFO_0009948	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Obesity-related traits	body composition measurement	http://www.ebi.ac.uk/efo/EFO_0005106	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Thoracic-to-hip circumference ratio	thoracic-to-hip circumference ratio measurement	http://www.ebi.ac.uk/efo/EFO_0007769	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
KANNO antigen negativity	KANNO antigen measurement	http://www.ebi.ac.uk/efo/EFO_0009949	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Response to exercise (triglyceride level interaction)	response to exercise	http://www.ebi.ac.uk/efo/EFO_0007768	Biological process	http://purl.obolibrary.org/obo/GO_0008150
Low density lipoprotein triglyceride levels	low density lipoprotein triglyceride measurement	http://www.ebi.ac.uk/efo/EFO_0009946	Lipid or lipoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004732
Obesity-related traits	arm span	http://www.ebi.ac.uk/efo/EFO_0005108	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Nucleoside diphosphate kinase A levels in hepatocellular carcinoma	nucleoside diphosphate kinase A measurement	http://www.ebi.ac.uk/efo/EFO_0009947	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Obesity-related traits	energy expenditure	http://www.ebi.ac.uk/efo/EFO_0005109	Biological process	http://purl.obolibrary.org/obo/GO_0008150
Delta-6 desaturase activity	delta-6 desaturase measurement	http://www.ebi.ac.uk/efo/EFO_0007765	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Delta-6 desaturase activity response to n3-polyunsaturated fat supplement	delta-6 desaturase measurement	http://www.ebi.ac.uk/efo/EFO_0007765	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Idiopathic membranous nephropathy	membranous glomerulonephritis	http://www.ebi.ac.uk/efo/EFO_0004254	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Membranous nephropathy	membranous glomerulonephritis	http://www.ebi.ac.uk/efo/EFO_0004254	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Medication use (antiglaucoma preparations and miotics)	Antiglaucoma preparations and miotics use measurement	http://www.ebi.ac.uk/efo/EFO_0009944	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Delta-5 desaturase activity	delta-5 desaturase measurement	http://www.ebi.ac.uk/efo/EFO_0007764	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Delta-5 desaturase activity response to n3-polyunsaturated fat supplement	delta-5 desaturase measurement	http://www.ebi.ac.uk/efo/EFO_0007764	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Nephrolithiasis	nephrolithiasis	http://www.ebi.ac.uk/efo/EFO_0004253	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Psychological resilience (outcome-based)	psychological resilience measurement	http://www.ebi.ac.uk/efo/EFO_0009945	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Psychological resilience (outcome-based) in high deployment stress exposure	psychological resilience measurement	http://www.ebi.ac.uk/efo/EFO_0009945	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Psychological resilience (self-assessed)	psychological resilience measurement	http://www.ebi.ac.uk/efo/EFO_0009945	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Cardiovascular disease in hypertension (calcium channel blocker interaction)	response to calcium channel blocker	http://www.ebi.ac.uk/efo/EFO_0007767	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Diabetes in response to antihypertensive drug treatment (treatment strategy interaction)	response to calcium channel blocker	http://www.ebi.ac.uk/efo/EFO_0007767	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Myocardial infarction in hypertension (calcium channel blocker interaction)	response to calcium channel blocker	http://www.ebi.ac.uk/efo/EFO_0007767	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Medication use (glucocorticoids)	Glucocorticoid use measurement	http://www.ebi.ac.uk/efo/EFO_0009942	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Nasopharyngeal carcinoma	nasopharyngeal neoplasm	http://www.ebi.ac.uk/efo/EFO_0004252	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Nasopharyngeal carcinoma (SNP x SNP interaction)	nasopharyngeal neoplasm	http://www.ebi.ac.uk/efo/EFO_0004252	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Radiation-induced brain injury in nasopharyngeal carcinoma	nasopharyngeal neoplasm	http://www.ebi.ac.uk/efo/EFO_0004252	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Cardiovascular disease in hypertension (beta blocker interaction)	response to beta blocker	http://www.ebi.ac.uk/efo/EFO_0007766	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Diabetes in response to antihypertensive drug treatment (treatment strategy interaction)	response to beta blocker	http://www.ebi.ac.uk/efo/EFO_0007766	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Diastolic blood pressure in combination therapy (beta blocker and thiazide diuretic)	response to beta blocker	http://www.ebi.ac.uk/efo/EFO_0007766	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Heart rate response to beta blockers	response to beta blocker	http://www.ebi.ac.uk/efo/EFO_0007766	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Heart rate response to beta blockers (atenolol add-on therapy)	response to beta blocker	http://www.ebi.ac.uk/efo/EFO_0007766	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Heart rate response to beta blockers (atenolol monotherapy)	response to beta blocker	http://www.ebi.ac.uk/efo/EFO_0007766	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Myocardial infarction in hypertension (beta blocker interaction)	response to beta blocker	http://www.ebi.ac.uk/efo/EFO_0007766	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Response to beta blocker use in hypertension (diastolic blood pressure)	response to beta blocker	http://www.ebi.ac.uk/efo/EFO_0007766	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Response to beta blocker use in hypertension (systolic blood pressure)	response to beta blocker	http://www.ebi.ac.uk/efo/EFO_0007766	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Systolic blood pressure in combination therapy (beta blocker and thiazide diuretic)	response to beta blocker	http://www.ebi.ac.uk/efo/EFO_0007766	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Uncontrolled blood pressure in combination therapy (beta blocker and thiazide diuretic)	response to beta blocker	http://www.ebi.ac.uk/efo/EFO_0007766	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Medication use (antihistamines for systemic use)	Antihistamine use measurement	http://www.ebi.ac.uk/efo/EFO_0009943	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Myeloproliferative neoplasms	myeloproliferative disorder	http://www.ebi.ac.uk/efo/EFO_0004251	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Cardiometabolic traits	docosahexaenoic acid measurement	http://www.ebi.ac.uk/efo/EFO_0007761	Lipid or lipoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004529
Interleukin-6 (red blood cell fatty acid level interaction)	docosahexaenoic acid measurement	http://www.ebi.ac.uk/efo/EFO_0007761	Lipid or lipoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004529
Plasma omega-3 polyunsaturated fatty acid levels (docosahexaenoic acid)	docosahexaenoic acid measurement	http://www.ebi.ac.uk/efo/EFO_0007761	Lipid or lipoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004529
Pulmonary function (FEV1) x omega-3 PUFA (docosahexaenoic acid) interaction (2df)	docosahexaenoic acid measurement	http://www.ebi.ac.uk/efo/EFO_0007761	Lipid or lipoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004529
Pulmonary function (FVC) x omega-3 PUFA (docosahexaenoic acid) interaction (2df)	docosahexaenoic acid measurement	http://www.ebi.ac.uk/efo/EFO_0007761	Lipid or lipoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004529
Medication use (antidepressants)	Antidepressant use measurement	http://www.ebi.ac.uk/efo/EFO_0009940	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Medication use (adrenergics, inhalants)	Inhalant adrenergic use measurement	http://www.ebi.ac.uk/efo/EFO_0009941	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Neuroticism	neurotic disorder	http://www.ebi.ac.uk/efo/EFO_0004257	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Neuroticism (age interaction)	neurotic disorder	http://www.ebi.ac.uk/efo/EFO_0004257	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Plasma omega-3 polyunsaturated fatty acid level (eicosapentaenoic acid)	eicosapentaenoic acid measurement	http://www.ebi.ac.uk/efo/EFO_0007760	Lipid or lipoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004529
Neuromyelitis optica	neuromyelitis optica	http://www.ebi.ac.uk/efo/EFO_0004256	Immune system disorder	http://www.ebi.ac.uk/efo/EFO_0000540
Plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid)	dihomo-gamma-linolenic acid measurement	http://www.ebi.ac.uk/efo/EFO_0007763	Lipid or lipoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004529
Childhood steroid-sensitive nephrotic syndrome	nephrotic syndrome	http://www.ebi.ac.uk/efo/EFO_0004255	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Nephrotic syndrome (acquired)	nephrotic syndrome	http://www.ebi.ac.uk/efo/EFO_0004255	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Plasma omega-6 polyunsaturated fatty acid levels (gamma-linolenic acid)	gamma-linolenic acid measurement	http://www.ebi.ac.uk/efo/EFO_0007762	Lipid or lipoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004529
Fentanyl consumption in laparoscopic-assisted colectomy (first 24 hours)	post-operative fentanyl consumption measurement	http://www.ebi.ac.uk/efo/EFO_0007770	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
