	STUDY ACCESSION	DISEASE/TRAIT	Disease trait	Parent term
5708	GCST003187	Myocardial infarction in hypertension (ACE inhibitor interaction)	Myocardial infarction in hypertension (ACE inhibitor interaction)	Cardiovascular disease
5709	GCST003187	Myocardial infarction in hypertension (ACE inhibitor interaction)	Myocardial infarction in hypertension (ACE inhibitor interaction)	Response to drug
5710	GCST003201	Myocardial infarction in hypertension (beta blocker interaction)	Myocardial infarction in hypertension (beta blocker interaction)	Response to drug
5711	GCST003201	Myocardial infarction in hypertension (beta blocker interaction)	Myocardial infarction in hypertension (beta blocker interaction)	Cardiovascular disease
5712	GCST003201	Myocardial infarction in hypertension (beta blocker interaction)	Myocardial infarction in hypertension (beta blocker interaction)	Cardiovascular disease
5713	GCST003202	Myocardial infarction in hypertension (diuretic interaction)	Myocardial infarction in hypertension (diuretic interaction)	Cardiovascular disease
5714	GCST003202	Myocardial infarction in hypertension (diuretic interaction)	Myocardial infarction in hypertension (diuretic interaction)	Cardiovascular disease
5715	GCST003202	Myocardial infarction in hypertension (diuretic interaction)	Myocardial infarction in hypertension (diuretic interaction)	Response to drug
5716	GCST002994	Ear protrusion	Ear protrusion	Other trait
5717	GCST003002	Tragus size	Tragus size	Other trait
5718	GCST003003	Antitragus size	Antitragus size	Other trait
5719	GCST003004	Crus helix expression	Crus helix expression	Other trait
5720	GCST003005	Superior crus of antihelix expression	Superior crus of antihelix expression	Other trait
5721	GCST003000	Darwin's tubercle	Darwin's tubercle	Other trait
5722	GCST003001	Ear morphology	Ear morphology	Other trait
5723	GCST002999	Lobe size	Lobe size	Other trait
5724	GCST002998	Lobe attachment	Lobe attachment	Other trait
5725	GCST002997	Helix rolling	Helix rolling	Other trait
5726	GCST002996	Folding of antihelix	Folding of antihelix	Other trait
5727	GCST002988	Ischemic stroke	Ischemic stroke	Cardiovascular disease
5728	GCST002988	Ischemic stroke	Ischemic stroke	Other trait
5729	GCST002987	Stroke	Stroke	Cardiovascular disease
5730	GCST002992	Gastric cancer	Gastric cancer	Cancer
5731	GCST002990	Gastric adenocarcinoma (histologically verified)	Gastric adenocarcinoma (histologically verified)	Cancer
5732	GCST003190	Schizophrenia	Schizophrenia	Neurological disorder
5733	GCST003017	Colorectal cancer	Colorectal cancer	Cancer
5734	GCST003300	Cardiomyopathy in childhood cancer survivors (anthracycline treatment interaction)	Cardiomyopathy in childhood cancer survivors (anthracycline treatment interaction)	Cardiovascular disease
5735	GCST003300	Cardiomyopathy in childhood cancer survivors (anthracycline treatment interaction)	Cardiomyopathy in childhood cancer survivors (anthracycline treatment interaction)	Cancer
5736	GCST003300	Cardiomyopathy in childhood cancer survivors (anthracycline treatment interaction)	Cardiomyopathy in childhood cancer survivors (anthracycline treatment interaction)	Response to drug
5737	GCST003299	Cardiomyopathy in childhood cancer survivors	Cardiomyopathy in childhood cancer survivors	Cardiovascular disease
5738	GCST003299	Cardiomyopathy in childhood cancer survivors	Cardiomyopathy in childhood cancer survivors	Cancer
5739	GCST003383	Platelet count	Platelet count	Hematological measurement
5740	GCST003330	Rheumatoid factor seropositivity in rheumatoid arthritis	Rheumatoid factor seropositivity in rheumatoid arthritis	Other measurement
5741	GCST003330	Rheumatoid factor seropositivity in rheumatoid arthritis	Rheumatoid factor seropositivity in rheumatoid arthritis	Immune system disorder
5742	GCST003330	Rheumatoid factor seropositivity in rheumatoid arthritis	Rheumatoid factor seropositivity in rheumatoid arthritis	Other measurement
5743	GCST003008	Triptolide cytotoxicity	Triptolide cytotoxicity	Other measurement
5744	GCST003008	Triptolide cytotoxicity	Triptolide cytotoxicity	Response to drug
5745	GCST003008	Triptolide cytotoxicity	Triptolide cytotoxicity	Other trait
5746	GCST003008	Triptolide cytotoxicity	Triptolide cytotoxicity	Other measurement
5747	GCST003392	Parental longevity (father's age at death)	Parental longevity (father's age at death)	Other measurement
5748	GCST003393	Parental longevity (mother's age at death)	Parental longevity (mother's age at death)	Other measurement
5749	GCST003394	Parental longevity (combined parental age at death)	Parental longevity (combined parental age at death)	Other measurement
5750	GCST003395	Parental extreme longevity (95 years and older)	Parental extreme longevity (95 years and older)	Other measurement
5751	GCST003214	Cholesterol, total	Cholesterol, total	Lipid or lipoprotein measurement
5752	GCST003216	LDL cholesterol	LDL cholesterol	Lipid or lipoprotein measurement
5753	GCST003216	LDL cholesterol	LDL cholesterol	Other measurement
5754	GCST003216	LDL cholesterol	LDL cholesterol	Lipid or lipoprotein measurement
5755	GCST003215	HDL cholesterol	HDL cholesterol	Lipid or lipoprotein measurement
5756	GCST003217	Triglycerides	Triglycerides	Lipid or lipoprotein measurement
5757	GCST003473	Aggressiveness in attention deficit hyperactivity disorder	Aggressiveness in attention deficit hyperactivity disorder	Neurological disorder
5758	GCST003473	Aggressiveness in attention deficit hyperactivity disorder	Aggressiveness in attention deficit hyperactivity disorder	Other measurement
5759	GCST003473	Aggressiveness in attention deficit hyperactivity disorder	Aggressiveness in attention deficit hyperactivity disorder	Other measurement
5760	GCST003472	Oppositional defiant disorder dimensions in attention-deficit hyperactivity disorder	Oppositional defiant disorder dimensions in attention-deficit hyperactivity disorder	Neurological disorder
5761	GCST003472	Oppositional defiant disorder dimensions in attention-deficit hyperactivity disorder	Oppositional defiant disorder dimensions in attention-deficit hyperactivity disorder	Other measurement
5762	GCST003485	Response to fenofibrate (HDL cholesterol levels)	Response to fenofibrate (HDL cholesterol levels)	Lipid or lipoprotein measurement
5763	GCST003485	Response to fenofibrate (HDL cholesterol levels)	Response to fenofibrate (HDL cholesterol levels)	Response to drug
5764	GCST003485	Response to fenofibrate (HDL cholesterol levels)	Response to fenofibrate (HDL cholesterol levels)	Lipid or lipoprotein measurement
5765	GCST003486	Response to fenofibrate (LDL cholesterol levels)	Response to fenofibrate (LDL cholesterol levels)	Lipid or lipoprotein measurement
5766	GCST003486	Response to fenofibrate (LDL cholesterol levels)	Response to fenofibrate (LDL cholesterol levels)	Response to drug
5767	GCST003487	Response to fenofibrate (total cholesterol levels)	Response to fenofibrate (total cholesterol levels)	Lipid or lipoprotein measurement
5768	GCST003487	Response to fenofibrate (total cholesterol levels)	Response to fenofibrate (total cholesterol levels)	Response to drug
5769	GCST003488	Response to fenofibrate (triglyceride levels)	Response to fenofibrate (triglyceride levels)	Response to drug
5770	GCST003488	Response to fenofibrate (triglyceride levels)	Response to fenofibrate (triglyceride levels)	Lipid or lipoprotein measurement
5771	GCST003488	Response to fenofibrate (triglyceride levels)	Response to fenofibrate (triglyceride levels)	Lipid or lipoprotein measurement
5772	GCST003606	Liver fibrosis severity in HIV/hepatitis C co-infection	Liver fibrosis severity in HIV/hepatitis C co-infection	Other disease
5773	GCST003606	Liver fibrosis severity in HIV/hepatitis C co-infection	Liver fibrosis severity in HIV/hepatitis C co-infection	Digestive system disorder
5774	GCST003606	Liver fibrosis severity in HIV/hepatitis C co-infection	Liver fibrosis severity in HIV/hepatitis C co-infection	Other trait
5775	GCST006251	High fetal hemoglobin in sickle cell disease	High fetal hemoglobin in sickle cell disease	Hematological measurement
5776	GCST006251	High fetal hemoglobin in sickle cell disease	High fetal hemoglobin in sickle cell disease	Other disease
5777	GCST003492	Ischemic stroke	Ischemic stroke	Cardiovascular disease
5778	GCST003492	Ischemic stroke	Ischemic stroke	Other trait
5779	GCST003490	Ischemic stroke (cardioembolic)	Ischemic stroke (cardioembolic)	Cardiovascular disease
5780	GCST003490	Ischemic stroke (cardioembolic)	Ischemic stroke (cardioembolic)	Cardiovascular disease
5781	GCST003490	Ischemic stroke (cardioembolic)	Ischemic stroke (cardioembolic)	Other trait
5782	GCST003493	Ischemic stroke (non-cardioembolic)	Ischemic stroke (non-cardioembolic)	Other trait
5783	GCST003491	Stroke	Stroke	Cardiovascular disease
5784	GCST003639	Breslow thickness in cutaneous melanoma	Breslow thickness in cutaneous melanoma	Cancer
5785	GCST003639	Breslow thickness in cutaneous melanoma	Breslow thickness in cutaneous melanoma	Other measurement
5786	GCST003651	Parkinson's disease (non-familial, age at onset)	Parkinson's disease (non-familial, age at onset)	Neurological disorder
5787	GCST003651	Parkinson's disease (non-familial, age at onset)	Parkinson's disease (non-familial, age at onset)	Other measurement
5788	GCST003653	Parkinson's disease (age of onset)	Parkinson's disease (age of onset)	Neurological disorder
5789	GCST003653	Parkinson's disease (age of onset)	Parkinson's disease (age of onset)	Other measurement
5790	GCST003652	Parkinson's disease (familial, age at onset)	Parkinson's disease (familial, age at onset)	Neurological disorder
5791	GCST003652	Parkinson's disease (familial, age at onset)	Parkinson's disease (familial, age at onset)	Other measurement
5792	GCST003497	Memory performance	Memory performance	Other measurement
5793	GCST003498	Verbal-numerical reasoning	Verbal-numerical reasoning	Biological process
5794	GCST003496	Educational attainment	Educational attainment	Other measurement
5795	GCST003499	Reaction time	Reaction time	Other measurement
5796	GCST003520	Breast cancer	Breast cancer	Cancer
5797	GCST003724	Bipolar disorder	Bipolar disorder	Neurological disorder
5798	GCST003837	Chronotype	Chronotype	Biological process
5799	GCST003837	Chronotype	Chronotype	Other measurement
5800	GCST003839	Sleep duration	Sleep duration	Other measurement
5801	GCST003838	Morning vs. evening chronotype	Morning vs. evening chronotype	Biological process
5802	GCST003840	Sleep duration (oversleepers vs undersleepers)	Sleep duration (oversleepers vs undersleepers)	Other measurement
5803	GCST006685	Sleep duration (oversleepers)	Sleep duration (oversleepers)	Other measurement
5804	GCST006686	Sleep duration (undersleepers)	Sleep duration (undersleepers)	Other measurement
5805	GCST003605	EGFR mutation-positive lung adenocarcinoma	EGFR mutation-positive lung adenocarcinoma	Cancer
5806	GCST003613	Hypertension	Hypertension	Cardiovascular disease
5807	GCST008016	Hirschsprung disease	Hirschsprung disease	Digestive system disorder
5808	GCST003880	Schizophrenia	Schizophrenia	Neurological disorder
5809	GCST003525	Endometrial endometrioid carcinoma	Endometrial endometrioid carcinoma	Cancer
5810	GCST003524	Endometrial cancer	Endometrial cancer	Cancer
5811	GCST003524	Endometrial cancer	Endometrial cancer	Cancer
5812	GCST003586	Prostate cancer	Prostate cancer	Cancer
5813	GCST003585	Aggressive prostate cancer	Aggressive prostate cancer	Cancer
5814	GCST003585	Aggressive prostate cancer	Aggressive prostate cancer	Other measurement
5815	GCST003591	Severity of facial solar lentigines	Severity of facial solar lentigines	Other measurement
5816	GCST003766	Subjective well-being	Subjective well-being	Other measurement
5817	GCST003767	Life satisfaction	Life satisfaction	Other measurement
5818	GCST003768	Positive affect	Positive affect	Other measurement
5819	GCST003769	Depression	Depression	Neurological disorder
5820	GCST003769	Depression	Depression	Other measurement
5821	GCST003770	Neuroticism	Neuroticism	Neurological disorder
5822	GCST003770	Neuroticism	Neuroticism	Other measurement
5823	GCST003965	Subcutaneous adipose tissue	Subcutaneous adipose tissue	Other measurement
5824	GCST003966	Visceral adipose tissue	Visceral adipose tissue	Other measurement
5825	GCST003968	Pericardial adipose tissue adjusted for height and weight	Pericardial adipose tissue adjusted for height and weight	Body measurement
5826	GCST003968	Pericardial adipose tissue adjusted for height and weight	Pericardial adipose tissue adjusted for height and weight	Body measurement
5827	GCST003968	Pericardial adipose tissue adjusted for height and weight	Pericardial adipose tissue adjusted for height and weight	Other measurement
